name,tradingsymbol,instrument_key
SIGNPOST INDIA LIMITED,SIGNPOST,NSE_EQ|INE0KGZ01021
HT MEDIA LIMITED,HTMEDIA,NSE_EQ|INE501G01024
TOTAL TRANSPORT SYS LTD,TOTAL,NSE_EQ|INE336X01012
SAI SILKS (KALAMANDIR) L,KALAMANDIR,NSE_EQ|INE438K01021
SHREE RAMA MULTI TECH LTD,SHREERAMA,NSE_EQ|INE879A01019
PNC INFRATECH LTD.,PNCINFRA,NSE_EQ|INE195J01029
KAMDHENU VENTURES LIMITED,KAMOPAINTS,NSE_EQ|INE0BTI01037
RATTANINDIA ENT LIMITED,RTNINDIA,NSE_EQ|INE834M01019
SHRIRAM PIST. & RING LTD,SHRIPISTON,NSE_EQ|INE526E01018
JHS SVEND. LAB. LTD,JHS,NSE_EQ|INE544H01014
NHPC LTD,NHPC,NSE_EQ|INE848E01016
21ST CENTURY MGMT SERVICE,21STCENMGM,NSE_EQ|INE253B01015
R.P.P INFRA PROJECTS LTD,RPPINFRA,NSE_EQ|INE324L01013
SHIPPING CORP OF ILA LTD,SCILAL,NSE_EQ|INE0PB301013
SANWARIA CONSUMER LIMITED,SANWARIA,NSE_EQ|INE890C01046
R. S. SOFTWARE (INDIA) LI,RSSOFTWARE,NSE_EQ|INE165B01029
BAJAJ AUTO LIMITED,BAJAJ-AUTO,NSE_EQ|INE917I01010
ITD CEMENTATION INDIA LTD,ITDCEM,NSE_EQ|INE686A01026
MAZDA LIMITED,MAZDA,NSE_EQ|INE885E01042
CIGNITI TECHNOLOGIES LTD,CIGNITITEC,NSE_EQ|INE675C01017
ELECTCAST WARRANTS,ELECTCAST,NSE_EQ|INE086A13016
RENAISSANCE GLOBAL LTD,RGL,NSE_EQ|INE722H01024
PANACHE DIGILIFE LIMITED,PANACHE,NSE_EQ|INE895W01019
ZYDUS WELLNESS LIMITED,ZYDUSWELL,NSE_EQ|INE768C01010
AKG EXIM LIMITED,AKG,NSE_EQ|INE00Y801016
